target,result
premium-coffee,coffee
caramelised-sugar,sugar
er,er
nergy-t,t
rapeseed-lecithin,lecithin
vegetable-sho,sho
monoglyceride,monoglyceride
bees-wax,wax
splenda-brand,brand
black-salt,salt
sel-noir,noir
poivre-noir,noir
des-noix,noix
du-soja,soja
du-lait,lait
du-ble,ble
du-sesame,sesame
sago-starch,starch
mint-oil,oil
canola-lecithin,lecithin
canola-ol,ol
smoke,smoke
includes-smoke,smoke
brandy,brandy
vegetable-suet,suet
cognac,cognac
ruby-port,port
wine,wine
liqueur-wine,wine
port,port
stout,stout
single-cream,cream
vostizza-currants,currant
fructose-syrup,syrup
vine-fruit,fruit
stoaric-acid,acid
mallc-acid,acid
mag,mag
stearat,stearat
orange-flavouring,flavouring
pretzels,pretzel
toffee-bits,bit
soda,soda
modified-dextrose,dextrose
marshmallow-drops,drop
sugar-gelatin,gelatin
pomegranate-preparation,preparation
on-emulsifier,emulsifier
cultured-buttermilk,buttermilk
palmol-whey,whey
macaroon-coconut,coconut
desiccated-coconut,coconut
sodium-metabisulfate,metabisulfate
macaroon-paste,paste
apricot-kernels,kernel
chocolate-decorettes,decorette
bread,bread
sodium-acetae,acetae
decorettes,decorette
jelly-beans,bean
enriched-bleached,bleached
cornsyrup,cornsyrup
decorrettes,decorrette
butterscotch-crunch,crunch
apricot-kern,kern
liquor,liquor
vaniliin,vaniliin
fondant,fondant
fudge-base,base
xantham-gum,gum
an-emulsifer,emulsifer
milled-rice,rice
rosemary-seasoning,seasoning
red-grape,grape
light,light
agave-powder,powder
tapioca-dextrose,dextrose
crisp-quinoa,quinoa
almond-butter,butter
crisp-sorghum,sorghum
usa,usa
agave-inulin,inulin
stevia-rebaudiana,rebaudiana
allulose,allulose
d-tocapharol,tocapharol
contains-phenylalanine,phenylalanine
sucralose-phenylketonurics,phenylketonuric
phenylketonurics,phenylketonuric
sucralosephenylketonurics,sucralosephenylketonuric
candelila-wax,wax
mint-flavouring,flavouring
aspartme,aspartme
mannitol-natural,natural
gumbase,gumbase
sodium-stearate,stearate
maltitol-mannitol,mannitol
to-maintainfreshness,maintainfreshness
sarbitol,sarbitol
bubblegumingredients,bubblegumingredient
tropical-twistsorbitol,twistsorbitol
spearmintingredients,spearmintingredient
contains-phenyalanine,phenyalanine
cider,cider
sherry,sherry
rum,rum
artificia,artificia
gum-aracia,aracia
soyflour,soyflour
yellow-mustard,mustard
enriched-fiour,fiour
di-ueberries,ueberrie
leave,leave
gouda,gouda
edam,edam
glycerol-monostearate,monostearate
ssugar,ssugar
derberry,derberry
agar-gum,gum
frosting,frosting
candy-bits,bit
camomile,camomile
glucose-fructose,fructose
wafer,wafer
dried-molasses,molasse
annato-extract,extract
natural-chocolate,chocolate
coagulating-enzyme,enzyme
pear-juice,juice
berkeley,berkeley
bacterial-cultures,culture
citrus-pectin,pectin
spring-onion,onion
red-radish,radish
muesli,muesli
rice-extract,extract
graham-cracker,cracker
confetti-bits,bit
carrot-juice,juice
red-cabbage,cabbage
carrot-powder,powder
tumeric-extracts,extract
confectionary-coating,coating
rice-fiber,fiber
annatto-blueberry,blueberry
for-anticaking,anticaking
acerola-powder,powder
tri-color,color
agave-fiber,fiber
charcoal,charcoal
cocoa-liqour,liqour
confectioner-sugar,sugar
ghost-pepper,pepper
certified-oats,oat
palm-fruit,fruit
non-dairy,dairy
dried-apricots,apricot
hemp-seed,seed
not-fried,fried
hunny,hunny
wheat-syrup,syrup
spelt-flour,flour
made-from,from
dutched,dutched
huito,huito
watermelon,watermelon
melon,melon
tomato-concentrate,concentrate
unsulphured-molasses,molasse
includes-mustard,mustard
potato-maltodextrin,maltodextrin
interesterified,interesterified
romaine-lettuce,lettuce
salad,salad
lettuce,lettuce
norwalk,norwalk
autolyzed-ye,ye
cultures-salt,salt
teff,teff
red-beetroot,beetroot
capsicum-annuum,annuum
monterey-jack,jack
carrot-puree,puree
thiamine-moontrate,moontrate
spices-celery,celery
onion-poweder,poweder
yeast-sugar,sugar
icultured-milk,milk
baking-soday,soday
thiamin-mononirate,mononirate
sweetener-blend,blend
asiago,asiago
cow-cheese,cheese
thyme,thyme
basil,basil
autolzed-yeast,yeast
milk-cultures,culture
t,t
uljre,uljre
saisonnement,saisonnement
phosphate-inocalcique,inocalcique
i-flnatto,flnatto
f-sunflower,sunflower
i-onion,onion
almendras,almendra
sea-sal,sal
pistaches,pistache
amaze-starch,starch
vegetable-concentrate,concentrate
beef-gelatin,gelatin
animal,animal
beef,beef
ethyl-vanillin,vanillin
chocolate-flavouring,flavouring
iron-fumarate,fumarate
cream-butter,butter
cocoa-milkfat,milkfat
jingle-sprinkles,sprinkle
emulsifier-product,product
mono-glycerides,glyceride
pan-release,release
lemon-puree,puree
lemon-cells,cell
maltitol-eggs,egg
lemon-emulsion,emulsion
pomace-brandy,brandy
hydrogenated-fat,fat
fruit-pecjit,pecjit
as-veeded,veeded
as-needed,needed
chocolate-cookies,cookie
sweetcream-buttermilk,buttermilk
corn-sy,sy
l-cystein,cystein
reduced-i,i
camuba-wax,wax
whipped-cream,cream
apple-pieces,piece
shiitake,shiitake
gummy-bears,bear
artificially-flavored,flavored
mint-balls,ball
natural-oil,oil
black-sesame,sesame
avocado-oil,oil
spinach-powder,powder
vegetable-blend,blend
coriander-leaf,leaf
cassava-flour,flour
cassava,cassava
salty,salty
or,or
wasabi-flavor,flavor
sorbital,sorbital
sgr,sgr
sybn-oil,oil
apl-fllng,fllng
brwn-sga,sga
slt,slt
mono-diglycerids,diglycerid
dxtrse,dxtrse
crn-strch,strch
triclcm-phsphte,phsphte
cinnmn,cinnmn
